Dates,Evapo-Transpiration (mm)
"31-Jan-2020",0.3580871569
"01-Feb-2020",0.2868593027
"02-Feb-2020",0.2941306155
"03-Feb-2020",0.2711750122
"04-Feb-2020",0.2583139301
"05-Feb-2020",0.272113221
"06-Feb-2020",0.2248954123
"07-Feb-2020",0.7878538076
"08-Feb-2020",0.1641007351
"09-Feb-2020",0.2403746391
"10-Feb-2020",0.2332005444
"11-Feb-2020",0.2281422926
"12-Feb-2020",0.2230529964
"13-Feb-2020",0.2179892903
"14-Feb-2020",0.2208387404
"15-Feb-2020",0.2069266462
"16-Feb-2020",0.1985072474
"17-Feb-2020",0.1953150997
"18-Feb-2020",0.1887920187
"19-Feb-2020",0.1866026297
"20-Feb-2020",0.180648569
"21-Feb-2020",0.1773405676
"22-Feb-2020",0.1699076721
"23-Feb-2020",0.1762829849
"24-Feb-2020",0.1584044228
"25-Feb-2020",0.4250226041
"26-Feb-2020",0.3162641204
"27-Feb-2020",0.2783769701
"28-Feb-2020",0.2509001111
"29-Feb-2020",0.1471723114
"01-Mar-2020",0.0920127499
"02-Mar-2020",0.169836059
"03-Mar-2020",0.2432035442
"04-Mar-2020",0.2340339235
"05-Mar-2020",0.2070634141
"06-Mar-2020",0.212117108
"07-Mar-2020",0.1985293971
"08-Mar-2020",0.1969353311
"09-Mar-2020",0.1788548588
"10-Mar-2020",0.1414582539
"11-Mar-2020",0.1113135164
"12-Mar-2020",0.0885055807
"13-Mar-2020",0.0857542316
"14-Mar-2020",0.0864562444
"15-Mar-2020",0.1901167601
"16-Mar-2020",0.1713682986
"17-Mar-2020",0.1653614978
"18-Mar-2020",0.1574587524
"19-Mar-2020",0.1383002944
"20-Mar-2020",0.4882371259
"21-Mar-2020",0.3075242767
"22-Mar-2020",0.2770951022
"23-Mar-2020",0.2033709041
"24-Mar-2020",0.6686618809
"25-Mar-2020",0.2262017103
"26-Mar-2020",0.4589981599
"27-Mar-2020",0.4268081506
"28-Mar-2020",0.4113138923
"29-Mar-2020",0.3900998764
"30-Mar-2020",0.3693678608
"31-Mar-2020",0.3568083945
"01-Apr-2020",0.3386169716
"02-Apr-2020",0.3199865751
"03-Apr-2020",0.3020573002
"04-Apr-2020",0.2842374546
"05-Apr-2020",0.3381158323
"06-Apr-2020",5.771847159
"07-Apr-2020",3.4844674614
"08-Apr-2020",3.7345236321
"09-Apr-2020",2.1548180788
"10-Apr-2020",1.4416189425
"11-Apr-2020",2.1321818754
"12-Apr-2020",1.4155427208
"13-Apr-2020",0.6735249697
"14-Apr-2020",0.6434207334
"15-Apr-2020",0.5995227475
"16-Apr-2020",0.5262485001
"17-Apr-2020",1.331503674
"18-Apr-2020",0.7806454356
"19-Apr-2020",1.4068402923
"20-Apr-2020",1.2138238213
"21-Apr-2020",1.1129502282
"22-Apr-2020",1.8305555468
"23-Apr-2020",4.6523012162
"24-Apr-2020",2.3776865929
"25-Apr-2020",1.4716650967
"26-Apr-2020",3.8512930381
"27-Apr-2020",3.7178037461
"28-Apr-2020",2.8052924007
"29-Apr-2020",2.0670048925
"30-Apr-2020",1.9930977607
"01-May-2020",1.8090388983
"02-May-2020",3.7124510713
"03-May-2020",4.9393428941
"04-May-2020",2.4048472698
"05-May-2020",0.8556928925
"06-May-2020",2.0083513698
"07-May-2020",1.7722481304
"08-May-2020",1.587065732
"09-May-2020",3.2044162585
"10-May-2020",2.7863876485
"11-May-2020",2.9745067381
"12-May-2020",3.2197471723
"13-May-2020",2.4380570561
"14-May-2020",3.2555141082
"15-May-2020",3.8405268443
"16-May-2020",2.1477275638
"17-May-2020",1.5792049971
"18-May-2020",2.6550069865
"19-May-2020",1.9373251531
"20-May-2020",2.0068142473
"21-May-2020",1.8628530322
"22-May-2020",3.4538766153
"23-May-2020",1.9146789072
"24-May-2020",1.563044465
"25-May-2020",3.6047275279
"26-May-2020",3.1489935955
"27-May-2020",2.6102582288
"28-May-2020",3.9733627267
"29-May-2020",2.7125528359
"30-May-2020",1.6902675523
"31-May-2020",1.3035406681
"01-Jun-2020",2.4568039326
"02-Jun-2020",1.8596290163
"03-Jun-2020",2.3349201997
"04-Jun-2020",2.2444496142
"05-Jun-2020",2.4975251262
"06-Jun-2020",2.3686180726
"07-Jun-2020",1.4188919569
"08-Jun-2020",2.6915944239
"09-Jun-2020",2.18632808
"10-Jun-2020",2.1394964041
"11-Jun-2020",2.6653817926
"12-Jun-2020",2.30343279
"13-Jun-2020",2.5121601685
"14-Jun-2020",0.5071863512
"15-Jun-2020",2.6216975251
"16-Jun-2020",1.8076871453
"17-Jun-2020",3.5019311086
"18-Jun-2020",3.683211008
"19-Jun-2020",2.8770793928
"20-Jun-2020",2.6421863467
"21-Jun-2020",2.2576348035
"22-Jun-2020",2.0500293044
"23-Jun-2020",2.4113160111
"24-Jun-2020",3.1784904885
"25-Jun-2020",3.4836735742
"26-Jun-2020",2.641264028
"27-Jun-2020",2.3760113766
"28-Jun-2020",1.7561698583
"02-Jul-2020",1.75143767
"03-Jul-2020",2.0784228756
"06-Jul-2020",2.5605550041
"19-Jul-2020",2.8041058541
"20-Jul-2020",3.5966337592
"21-Jul-2020",3.5247835423
"22-Jul-2020",3.6871543243
"23-Jul-2020",3.0316324474
"24-Jul-2020",3.5171043139
"25-Jul-2020",3.8617867896
"26-Jul-2020",3.9366221598
"27-Jul-2020",2.7364831932
"28-Jul-2020",4.3267917726
"29-Jul-2020",2.8447286215
"30-Jul-2020",3.4406036443
"31-Jul-2020",2.8674301596
"01-Aug-2020",2.2474207051
"02-Aug-2020",2.7880452991
"03-Aug-2020",2.0040068757
"04-Aug-2020",1.4380603789
"05-Aug-2020",1.2570595005
"06-Aug-2020",1.2443303257
"07-Aug-2020",1.9823726378
"08-Aug-2020",2.3157895946
"09-Aug-2020",1.8638473583
"10-Aug-2020",2.5766557205
"11-Aug-2020",3.6505508195
"12-Aug-2020",2.4165582927
"13-Aug-2020",3.7670785236
"14-Aug-2020",3.3687131717
"15-Aug-2020",3.4866669296
"16-Aug-2020",3.042347551
"17-Aug-2020",3.7780605981
"18-Aug-2020",3.0139547178
"19-Aug-2020",3.833399149
"20-Aug-2020",3.6475189002
"21-Aug-2020",4.0565822594
"22-Aug-2020",3.9884534246
"23-Aug-2020",3.695403292
"24-Aug-2020",4.2273841231
"25-Aug-2020",4.5124369097
"26-Aug-2020",4.229129753
"27-Aug-2020",4.7219025277
"28-Aug-2020",4.878568618
"29-Aug-2020",1.4451963357
"30-Aug-2020",3.7030466503
"31-Aug-2020",4.6823317039
"01-Sep-2020",4.5099348441
"02-Sep-2020",3.7067220647
"03-Sep-2020",3.6193701327
"04-Sep-2020",4.5948230442
"05-Sep-2020",3.8414903712
"06-Sep-2020",2.4547790866
"07-Sep-2020",3.0305267736
"08-Sep-2020",3.9322397382
"09-Sep-2020",3.4972317784
"10-Sep-2020",3.0958971285
"11-Sep-2020",2.233513591
"12-Sep-2020",2.4233599544
"13-Sep-2020",2.2016866018
"14-Sep-2020",3.6458619792
"15-Sep-2020",2.7676315387
"16-Sep-2020",3.4101939292
"17-Sep-2020",3.1804552302
"18-Sep-2020",3.090836782
"19-Sep-2020",1.6019169235
"20-Sep-2020",1.7691839938
"21-Sep-2020",1.5742899352
"22-Sep-2020",2.5900215403
"23-Sep-2020",3.9025540835
"24-Sep-2020",4.1017602455
"25-Sep-2020",1.4371697217
"26-Sep-2020",1.6309937362
