Dates,Evapo-Transpiration (mm)
"07-Aug-2020",1.9557719698
"08-Aug-2020",1.9949506942
"09-Aug-2020",1.9253765381
"10-Aug-2020",2.9554872407
"11-Aug-2020",3.4324848421
"12-Aug-2020",2.0634684654
"13-Aug-2020",3.1955254923
"14-Aug-2020",3.0202668794
"15-Aug-2020",3.0612691819
"16-Aug-2020",2.8872320224
"17-Aug-2020",3.2355401802
"18-Aug-2020",3.1241028026
"19-Aug-2020",3.50274641
"20-Aug-2020",3.6863760953
"21-Aug-2020",3.9749202691
"22-Aug-2020",3.7981362065
"23-Aug-2020",3.8116134413
"24-Aug-2020",3.9044462337
"25-Aug-2020",4.4068493324
"26-Aug-2020",4.3089365012
"27-Aug-2020",4.3908807418
"28-Aug-2020",4.3074538834
"29-Aug-2020",1.4055100442
"30-Aug-2020",4.1070015494
"31-Aug-2020",4.6808718436
"01-Sep-2020",4.4924192517
"02-Sep-2020",3.6444670724
"03-Sep-2020",3.8394187306
"04-Sep-2020",4.2442960469
"05-Sep-2020",3.9898680409
"06-Sep-2020",3.3055382018
"07-Sep-2020",2.7985044042
"08-Sep-2020",3.9602952999
"09-Sep-2020",3.6244343846
"10-Sep-2020",3.0220878464
"11-Sep-2020",2.1623692345
"12-Sep-2020",2.3789780192
"13-Sep-2020",2.4163901533
"14-Sep-2020",3.3766217694
"15-Sep-2020",2.8312016328
"16-Sep-2020",3.3997231417
"17-Sep-2020",3.2601026804
"18-Sep-2020",2.8065019426
"19-Sep-2020",1.6405375207
"20-Sep-2020",1.5703184508
"21-Sep-2020",1.3620996531
"22-Sep-2020",2.1198482793
"23-Sep-2020",3.6741879676
"24-Sep-2020",4.268643947
"25-Sep-2020",1.4314317505
"26-Sep-2020",1.6204029816
