Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level (m),Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"14-Jan-2005",747.5,738.46,744.852,752.5,0.463,0.053,0.616
"15-Jan-2005",747.39,738.34,744.742,752.5,0.4554,0.048,0.607
"16-Jan-2005",747.29,738.06,744.6,752.5,0.4464,0.037,0.598
"17-Jan-2005",747.19,737.84,744.466,752.5,0.4382,0.029,0.589
"18-Jan-2005",747.09,737.85,744.358,752.5,0.4314,0.03,0.58
"19-Jan-2005",746.99,737.85,744.266,752.5,0.4246,0.03,0.571
"20-Jan-2005",746.91,737.85,744.198,752.5,0.4182,0.03,0.564
"21-Jan-2005",746.96,737.85,744.136,752.5,0.413,0.03,0.562
"22-Jan-2005",746.86,737.85,744.044,752.5,0.4074,0.03,0.56
"23-Jan-2005",746.84,737.85,743.968,752.5,0.4028,0.03,0.558
"24-Jan-2005",746.81,737.85,743.906,752.5,0.399,0.03,0.556
"25-Jan-2005",746.79,737.85,743.862,752.5,0.3954,0.03,0.555
"26-Jan-2005",746.77,737.85,743.826,752.5,0.3908,0.03,0.552
"27-Jan-2005",746.74,737.85,743.764,752.5,0.3858,0.03,0.55
"28-Jan-2005",746.72,737.85,743.706,752.5,0.3808,0.03,0.548
"29-Jan-2005",746.67,737.84,743.586,752.5,0.3754,0.029,0.544
"30-Jan-2005",746.56,737.84,743.49,752.5,0.3692,0.029,0.535
"31-Jan-2005",746.46,737.84,743.64,752.5,0.3648,0.029,0.527
"01-Feb-2005",746.37,737.84,743.388,752.5,0.3608,0.029,0.519
"02-Feb-2005",746.28,737.84,743.352,752.5,0.3582,0.029,0.512
"03-Feb-2005",746.17,737.84,743.32,752.5,0.3552,0.029,0.503
"04-Feb-2005",746.06,737.83,743.286,752.5,0.352,0.029,0.494
"05-Feb-2005",745.95,737.83,743.25,752.5,0.3488,0.029,0.485
"06-Feb-2005",745.84,737.82,743.21,752.5,0.346,0.029,0.477
"07-Feb-2005",745.73,737.82,743.168,752.5,0.3422,0.028,0.468
"08-Feb-2005",745.62,737.82,743.116,752.5,0.3378,0.028,0.46
"09-Feb-2005",745.51,737.81,743.04,752.5,0.3336,0.028,0.451
"10-Feb-2005",745.39,737.8,742.978,752.5,0.3286,0.028,0.442
"11-Feb-2005",745.28,737.8,742.936,752.5,0.3232,0.028,0.434
