,Temperature - (Celsius), Year, Statistics, Longitude, Latitude
354,22.092891693115234,2020.0, Jun Average,76.5724,12.4255
355,22.594635009765625,2020.0, Jul Average,76.5724,12.4255
356,23.39386558532715,2020.0, Aug Average,76.5724,12.4255
357,22.992773056030273,2020.0, Sep Average,76.5724,12.4255
358,22.49329376220703,2020.0, Oct Average,76.5724,12.4255
359,21.894010543823242,2020.0, Nov Average,76.5724,12.4255
360,22.294965744018555,2020.0, Dec Average,76.5724,12.4255
361,24.194320678710938,2021.0, Feb Average,76.5724,12.4255
362,25.491836547851562,2021.0, Mar Average,76.5724,12.4255
363,26.19058609008789,2021.0, Apr Average,76.5724,12.4255
364,24.890033721923828,2021.0, May Average,76.5724,12.4255
365,23.791118621826172,2021.0, Jun Average,76.5724,12.4255
366,22.39227867126465,2021.0, Jul Average,76.5724,12.4255
367,22.69415855407715,2021.0, Aug Average,76.5724,12.4255
368,23.393718719482422,2021.0, Sep Average,76.5724,12.4255
369,23.49277114868164,2021.0, Oct Average,76.5724,12.4255
370,23.192644119262695,2021.0, Nov Average,76.5724,12.4255
371,22.193025588989258,2021.0, Dec Average,76.5724,12.4255
